Title,Link,Occupations,Companies,Company_location,Sepcs
Data Scientist,https://wuzzuf.net/jobs/p/g/SmixIONPX5et-Data-Scientist-Matchable-Riyadh-Saudi-Arabia,Full Time,Matchable,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
AI Engineer,https://wuzzuf.net/jobs/p/g/l9vbQXlT1AOg-AI-Engineer-UAE-General-Civil-Aviation-Authority-GCAA-Dubai-United-Arab-Emirates,Full Time,UAE General Civil Aviation Authority (GCAA),"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
Junior Data Scientist (Remote),https://wuzzuf.net/jobs/p/g/vTKLnZ3pWDNr-Junior-Data-Scientist-Remote-Kreativstorm-Tabuk-Saudi-Arabia,Full Time,Kreativstorm,"<span class=""css-5wys0k"">Tabuk, <!-- -->Saudi Arabia </span>",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Python · Information Technology (IT) · SQL · Data Science · Data Analysis · Java
Jr. Data Scientist,https://wuzzuf.net/jobs/p/g/NLNDvRIHrDfL-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates,Full Time,DXC Technology,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist
Sr.Technical Support Engineer,https://wuzzuf.net/jobs/p/tUHIFtCvRO4x-SrTechnical-Support-Engineer-Midea-Group-Giza-Egypt,Full TimeOn-site,Midea Group,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · IT · Hardware · Maintenance · Technical Support
Timekeeper - HR,https://wuzzuf.net/jobs/p/lgY1NtlH7I07-Timekeeper---HR-Emessa-Denim-Beni-Suef-Egypt,Full TimeShift BasedOn-site,Emessa Denim  ,"<span class=""css-5wys0k"">Beni Suef, <!-- -->Egypt </span>",Full TimeShift BasedOn-siteEntry Level · Administration · Human Resources · Manufacturing/Production · timekeeper · Time Scheduling · Time Management · HR · HR Systems · Payroll Administration · Human Resources
Technical Lead-IT,https://wuzzuf.net/jobs/p/6U2ZxsIufSOJ-Technical-Lead-IT-Block-Gemini-Cairo-Egypt,Full TimeOn-site,Block Gemini,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","Full TimeOn-siteExperienced · 8 - 16 Yrs of Exp · IT/Software Development · Node.js · Information Technology (IT) · Technical lead · mernstack,"
Microsoft System Administrator,https://wuzzuf.net/jobs/p/HToxrPb8SgYQ-Microsoft-System-Administrator-Techno-Management-Cairo-Egypt,Full TimeOn-site,Techno Management,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Microsoft SQL Server · Installation · Configuration · Troubleshooting
Production II Internship - Alexandria,https://wuzzuf.net/internship/d68zI0iRtwdQ-Production-II-Internship---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt,InternshipOn-site,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),"<span class=""css-5wys0k"">Ameria, <!-- -->Alexandria, <!-- -->Egypt </span>",InternshipOn-siteEntry Level · 0 - 1 Yrs of Exp · Manufacturing/Production · Production · Manufacturing · Engineering
Microsoft System Administrator in New Administrative Capital,https://wuzzuf.net/jobs/p/2BVuTU5K6pUN-Microsoft-System-Administrator-in-New-Administrative-Capital-Techno-Management-Cairo-Egypt,Full TimeOn-site,Techno Management,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Microsoft SQL Server · Installation · Configuration · Troubleshooting
GIS Technician,https://wuzzuf.net/jobs/p/nFPnN5W9bxPc-GIS-Technician-Citylogix-ME-Cairo-Egypt,Full TimeOn-site,Citylogix ME,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Arc GIS · GIS · QGIS
Remote Roads Inspection Engineer,https://wuzzuf.net/jobs/p/zF9kzxya69v6-Remote-Roads-Inspection-Engineer-Citylogix-ME-Cairo-Egypt,Full TimeOn-site,Citylogix ME,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 0 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · Engineering Services · Roads · Transportation engineering · Engineering · QA · Highways
Full-Stack Python Team Leader (Django/React),https://wuzzuf.net/jobs/p/QYjtCS50gnXV-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Riyadh-Saudi-Arabia,Full TimeOn-site,RDI,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems
Senior Full-Stack Python (Django/React) in KSA,https://wuzzuf.net/jobs/p/o21S64HNCZ4B-Senior-Full-Stack-Python-DjangoReact-in-KSA-RDI-Giza-Egypt,Full TimeOn-site,RDI,"<span class=""css-5wys0k"">Dokki, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems
Air Compressors Service Engineer,https://wuzzuf.net/jobs/p/UhOY0FwSvWN5-Air-Compressors-Service-Engineer-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Mohandessin, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Other · Engineering · Electrical Engineering · air compressors
Mechanical Drawing Engineer - COTHERM TOR Egypt,https://wuzzuf.net/internship/YPxSQv9BwKN4-Mechanical-Drawing-Engineer---COTHERM-TOR-Egypt-Groupe--Atlantic-Sharqia-Egypt,InternshipOn-site,Groupe- Atlantic,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Sharqia, <!-- -->Egypt </span>",InternshipOn-siteEntry Level · Engineering - Mechanical/Electrical · AutoCAD · Engineering · Mechanical Engineering
Sales Representative,https://wuzzuf.net/jobs/p/WwQGFTFowZ1V-Sales-Representative-Softech-Riyadh-Saudi-Arabia,Full TimeHybrid,Softech,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeHybridExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Customer Service · Computer Science · Sales
Senior Backend Laravel Developer (Experienced),https://wuzzuf.net/jobs/p/vxRiPCYHRuEo-Senior-Backend-Laravel-Developer-Experienced-Road9-Media-Cairo-Egypt,Full TimeRemote,Road9 Media,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Laravel · Information Technology (IT) · RESTful · PHP · Computer Science · Database · MySQL
Senior Cost Accountant (Manufacturing Industry),https://wuzzuf.net/jobs/p/I6pkAwk5iweg-Senior-Cost-Accountant-Manufacturing-Industry-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,Full TimeOn-site,Selah ElTelmeez For Publishing & printing,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication · Cost Accounting · ERP System · Finance · Financial Management · Cost · English
Electrical Maintenance Engineer,https://wuzzuf.net/jobs/p/oXcAQZAa20Rb-Electrical-Maintenance-Engineer-City-Glass-Cairo-Egypt,Full TimeOn-site,City Glass,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Classic control · Control · Electrical Maintenance · Electrical Engineering · PLC
Product Manager - EPM/AI/ML,https://wuzzuf.net/jobs/p/2tyQPqVziD1b-Product-Manager---EPMAIML-Azdan-Business-Analytics-Cairo-Egypt,Full TimeRemote,Azdan Business Analytics,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteManager · 5 - 7 Yrs of Exp · IT/Software Development · Oracle EPM · EPM · Hyperion · Oracle Hyperion
HR Specialist,https://wuzzuf.net/jobs/p/60dxbuSliHxz-HR-Specialist-CELESTE-Cairo-Egypt,Full TimeOn-site,CELESTE,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · HR Certificate · Communication skills · HR · Personnel · Recruitment · Social Insurance · Communication
Cnc sheet metal maintenance engineer,https://wuzzuf.net/jobs/p/ijaAMUoBvFLm-Cnc-sheet-metal-maintenance-engineer-Promech-Engineering-Cairo-Egypt,Full TimeOn-site,Promech Engineering,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Engineering · Sheet Metal · Maintenance · Mechanical Engineering · Metal · CNC · Production
Javascript Engineer,https://wuzzuf.net/jobs/p/3nquHd7f178N-Javascript-Engineer-Constructor-San-Francisco-United-States,Full TimeRemote,Constructor,"<span class=""css-5wys0k"">San Francisco, <!-- -->United States </span>",Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · engineer · Integrations · JavaScript · Computer Science · CSS · Design · Front end
AI Engineer,https://wuzzuf.net/jobs/p/VuUGsRgdzCC6-AI-Engineer-The-Osiris-Labs-Cairo-Egypt,Full TimeHybrid,The Osiris Labs ,"<span class=""css-5wys0k"">Mokattam, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Account Management · Project Management · sales skills · Marketing · Management · Communication
Data Management Lead,https://wuzzuf.net/jobs/p/8l0tQm7tFrTf-Data-Management-Lead-REI-Call-Center-Alexandria-Egypt,Full TimeRemote,REI Call Center,"<span class=""css-5wys0k"">Alexandria, <!-- -->Egypt </span>",Full TimeRemoteManager · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Management · Real Estate · Information Technology (IT) · Data · Automation · Visualization · Database SQL Server · Management
QA Validation and Qualification Officer,https://wuzzuf.net/jobs/p/qExu65pPdVEC-QA-Validation-and-Qualification-Officer-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Badr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Quality · Pharmaceutical · Pharmaceutical · Quality Assurance · Pharmacy · Science
Fabrication Engineer,https://wuzzuf.net/jobs/p/QEQGgRRI7oZy-Fabrication-Engineer-Power-House-Egypt-Giza-Egypt,Full TimeOn-site,Power House Egypt,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · AutoCAD · Construction · Engineering · Manufacturing · Production Engineering · Steel
Data Annotation Team Lead,https://wuzzuf.net/jobs/p/A5qTdwlu96Gb-Data-Annotation-Team-Lead-Eg-Insurtech-Cairo-Egypt,Full TimeHybrid,Eg Insurtech,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence
Senior Full Stack Engineer,https://wuzzuf.net/jobs/p/lFH6e01rB6dl-Senior-Full-Stack-Engineer-USYTech-Cairo-Egypt,Full TimeHybrid,USYTech,"<span class=""css-5wys0k"">Heliopolis, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeHybridEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Software Development · Web Development · JavaScript · React · Ruby
Junior Python Developer,https://wuzzuf.net/jobs/p/xJp7GQsxL0de-Junior-Python-Developer-RDI-Giza-Egypt,Full TimeHybrid,RDI,"<span class=""css-5wys0k"">Dokki, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django
Shop Floor Manager,https://wuzzuf.net/jobs/p/SNN7Bj0myiS1-Shop-Floor-Manager-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Darrasa, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 2 - 3 Yrs of Exp · Operations/Management · Manufacturing/Production · Project/Program Management · Management · Quality Assurance · Factory Management · Project Management · Manufacturing
Coffee Specialist (Boutique) - East,https://wuzzuf.net/jobs/p/g/kZ4AhMA4orgR-Coffee-Specialist-Boutique---East-Nestlé-Nespresso-SA-Riyadh-Saudi-Arabia,Full Time,Nestlé Nespresso SA,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeEntry Level · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · marketing · advertising · social media · branding · sales · customer service · communication
Customer Relations Center Team Leader,https://wuzzuf.net/jobs/p/g/wScaz2ZfCdyw-Customer-Relations-Center-Team-Leader-Nestlé-Nespresso-SA-Makkah-Saudi-Arabia,Full Time,Nestlé Nespresso SA,"<span class=""css-5wys0k"">Makkah, <!-- -->Saudi Arabia </span>",Full TimeExperienced · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Management · Operations · Microsoft Office
Cost & Data Analysis Accountant,https://wuzzuf.net/jobs/p/6LyviAngofaz-Cost-Data-Analysis-Accountant-MENA-For-Contracting-Trading-Alexandria-Egypt,Full TimeOn-site,MENA For Contracting & Trading,"<span class=""css-5wys0k"">Glim, <!-- -->Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication skills · Construction · Cost Accounting · ERP · excel · Finance · Financial Analysis
Senior Data Analyst,https://wuzzuf.net/jobs/p/lz3Hncw3F9yP-Senior-Data-Analyst-Green-Valley-Cairo-Egypt,Full TimeOn-site,Green Valley,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 5 Yrs of Exp · Analyst/Research · Analysis · Analyst · Data Analysis · Data Analyst
Data Engineering Lead,https://wuzzuf.net/jobs/p/SyTlRprkXhia-Data-Engineering-Lead-Nahdet-Misr-Publishing-Group-Giza-Egypt,Part TimeHybrid,Nahdet Misr Publishing Group,"<span class=""css-5wys0k"">Mohandessin, <!-- -->Giza, <!-- -->Egypt </span>",Part TimeHybridExperienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling · Data Warehouse
Data Analyst Lead / Manager,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt,Full TimeHybrid,WUZZUF,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeHybridManager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel
Data Scientists Team Lead,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt,Full TimeHybrid,Smart Vision Technologies,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeHybridManager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile
Data Analyst,https://wuzzuf.net/jobs/p/wbK72hYhmTCd-Data-Analyst-United-Group-Steel-Sharqia-Egypt,Full TimeOn-site,United Group Steel,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Sharqia, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · females_only · Accounting/Finance · IT/Software Development · Analyst/Research · Data Entry · Financial Data Analysis · Data Analysis · Microsoft Excel · Financial Accounting · Business Analysis · Analysis
Financial Planning And Analysis Assistant Manager,https://wuzzuf.net/jobs/p/6SMcdiXwFZ4f-Financial-Planning-And-Analysis-Assistant-Manager-Erada-Cairo-Egypt,Full TimeOn-site,Erada,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analysis · CFA · ERP · Finance · Financial · Financial Analysis · Financial Planning
Media Monitoring Executive & Data Analysis,https://wuzzuf.net/jobs/p/DjhJDpbmz64n-Media-Monitoring-Executive-Data-Analysis-AY-Govt-Services-LLC-Al-Ahmadi-Kuwait,Full TimeRemote,A&Y Govt. Services LLC,"<span class=""css-5wys0k"">Al Ahmadi, <!-- -->Kuwait </span>",Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Market Research · Social Media · English · Data Analysis · Research
"Data Analyst -Internship ""Alexandria""",https://wuzzuf.net/internship/eJ5MCTLO1OfU-Data-Analyst--Internship-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt,InternshipOn-site,Egyptian Abrasives Co.,"<span class=""css-5wys0k"">Alexandria, <!-- -->Egypt </span>",InternshipOn-siteStudent · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Information Technology (IT) · Computer Science · Training · Communication
Analysis Engineer,https://wuzzuf.net/jobs/p/XDgPp57Ff47G-Analysis-Engineer-SMD-Industrial-Sharqia-Egypt,Full TimeOn-site,SMD Industrial ,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Sharqia, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Manufacturing/Production · Analyst/Research · Data Analysis · Analytical Skills · business · Manufacturing · Engineering
Senior Financial Planning and Analysis,https://wuzzuf.net/jobs/p/bO0Vju3HNi7U-Senior-Financial-Planning-and-Analysis-Corona-Giza-Egypt,Full TimeOn-site,Corona,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Accounting/Finance · Financial Analysis · Accounting · Finance · Planning
Project Analyst (Pharmacist / Engineer) - Technical Specialist,https://wuzzuf.net/jobs/p/Pprhnxcf2Zdp-Project-Analyst-Pharmacist-Engineer---Technical-Specialist-Pharco-Corporation-Alexandria-Egypt,Full TimeOn-site,Pharco Corporation,"<span class=""css-5wys0k"">Ameria, <!-- -->Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Project/Program Management · Analyst/Research · Engineering · Pharmacy · analytical · Project Management · Data Analysis
Data Analyst,https://wuzzuf.net/jobs/p/CwBcPiNouivj-Data-Analyst-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,Full TimeOn-site,Selah ElTelmeez For Publishing & printing,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT)
Secondary Market Researcher,https://wuzzuf.net/jobs/p/9eIuzD1TnBmz-Secondary-Market-Researcher-Ptcell-Cairo-Egypt,Full TimeOn-site,Ptcell,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>","Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Market Research · Pharmaceutical · Research · Analysis · science,"
Financial Planning & Analysis Manager,https://wuzzuf.net/jobs/p/U37jxrtUHVbs-Financial-Planning-Analysis-Manager-Skywalk-Developments-Giza-Egypt,Full TimeOn-site,Skywalk Developments,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Financial Analysis · Finance · Financial Management · Planning · Budgeting
Compensation & Benefits Executive/ Analyst,https://wuzzuf.net/jobs/p/8XrQr6F4YaJv-Compensation-Benefits-Executive-Analyst-Transmar-International-Cairo-Egypt,Full TimeOn-site,Transmar International ,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 3 - 7 Yrs of Exp · Human Resources · Compensation and Benefits · Human Resources (HR) · HR · Compensation & Benefits · Compensation · Benefits · Microsoft Office · Business Administration · Data Analysis
Senior Analyst/Investment Banking,https://wuzzuf.net/jobs/p/oa7roMMM4DuZ-Senior-AnalystInvestment-Banking-Intercap-Capital-Giza-Egypt,Full TimeOn-site,Intercap Capital ,"<span class=""css-5wys0k"">Dokki, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · Research · Accounting · Finance · Financial Analysis · Microsoft Office · Data Collection · Financial Reports
